Symbol,Security                              ,Nasdaq Sectors        ,GICS Sector           ,GICS Sub-Industry                           ,Headquarters Location                        ,Date first added       ,CIK    ,Founded
BK    ,BNY Mellon                            ,Financials            ,Financials            ,Asset Management & Custody Banks            ,New York City                                ,3/31/1995              ,1390777,1784
STT   ,State Street Corporation              ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"Boston, Massachusetts"                      ,                       ,93751  ,1792
CL    ,Colgate-Palmolive                     ,Consumer Staples      ,Consumer Staples      ,Household Products                          ,New York City                                ,3/4/1957               ,21665  ,1806
HIG   ,The Hartford                          ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Hartford, Connecticut"                      ,3/4/1957               ,874766 ,1810
ED    ,Consolidated Edison                   ,Utilities             ,Utilities             ,Electric Utilities                          ,New York City                                ,                       ,1047862,1823
KEY   ,KeyCorp                               ,Financials            ,Financials            ,Regional Banks                              ,"Cleveland, Ohio"                            ,3/1/1994               ,91576  ,1825
CFG   ,Citizens Financial Group              ,Financials            ,Financials            ,Regional Banks                              ,"Providence, Rhode Island"                   ,1/29/2016              ,759944 ,1828
MCK   ,McKesson Corporation                  ,Health Care           ,Health Care           ,Health Care Distributors                    ,"Irving, Texas"                              ,                       ,927653 ,1833
DE    ,Deere & Co.                           ,Industrials           ,Industrials           ,Agricultural & Farm Machinery               ,"Moline, Illinois"                           ,3/4/1957               ,315189 ,1837
PG    ,Procter & Gamble                      ,Consumer Staples      ,Consumer Staples      ,Personal Products                           ,"Cincinnati, Ohio"                           ,3/4/1957               ,80424  ,1837
BRK.B ,Berkshire Hathaway                    ,Not on Nasdaq         ,Financials            ,Multi-Sector Holdings                       ,"Omaha, Nebraska"                            ,2/16/2010              ,1067983,1839
NOV   ,Nov                                   ,Energy                ,Energy                ,Oil & Gas Equipment & Services              ,"Houston, Texas"                             ,3/14/2005              ,1021860,1841
PBCT  ,People's United Financial             ,Financials            ,Financials            ,Thrifts & Mortgage Finance                  ,"Bridgeport, Connecticut"                    ,11/13/2008             ,1378946,1842
SWK   ,Stanley Black & Decker                ,Industrials           ,Industrials           ,Industrial Machinery                        ,"New Britain, Connecticut"                   ,9/30/1982              ,93556  ,1843
PNC   ,PNC Financial Services                ,Financials            ,Financials            ,Regional Banks                              ,"Pittsburgh, Pennsylvania"                   ,4/30/1988              ,713676 ,1845
CHD   ,Church & Dwight                       ,Consumer Staples      ,Consumer Staples      ,Household Products                          ,"Ewing, New Jersey"                          ,12/29/2015             ,313927 ,1847
CME   ,CME Group                             ,Financials            ,Financials            ,Financial Exchanges & Data                  ,"Chicago, Illinois"                          ,8/11/2006              ,1156375,1848
CMA   ,Comerica                              ,Financials            ,Financials            ,Diversified Banks                           ,"Dallas, Texas"                              ,12/1/1995              ,28412  ,1849
PFE   ,Pfizer                                ,Health Care           ,Health Care           ,Pharmaceuticals                             ,New York City                                ,3/4/1957               ,78003  ,1849
AXP   ,American Express                      ,Financials            ,Financials            ,Consumer Finance                            ,New York City                                ,6/30/1976              ,4962   ,1850
GLW   ,Corning                               ,Information Technology,Information Technology,Electronic Components                       ,"Corning, New York"                          ,                       ,24741  ,1851
WU    ,Western Union                         ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Englewood, Colorado"                        ,9/29/2006              ,1365135,1851
WFC   ,Wells Fargo                           ,Financials            ,Financials            ,Diversified Banks                           ,"San Francisco, California"                  ,6/30/1976              ,72971  ,1852
TRV   ,The Travelers Companies               ,Financials            ,Financials            ,Property & Casualty Insurance               ,New York City                                ,8/21/2002              ,86312  ,1853
GIS   ,General Mills                         ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Golden Valley, Minnesota"                   ,3/31/1969              ,40704  ,1856
MTB   ,M&T Bank                              ,Financials            ,Financials            ,Regional Banks                              ,"Buffalo, New York"                          ,2/23/2004              ,36270  ,1856
FITB  ,Fifth Third Bancorp                   ,Financials            ,Financials            ,Regional Banks                              ,"Cincinnati, Ohio"                           ,                       ,35527  ,1858
IR    ,Ingersoll Rand                        ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Milwaukee, Wisconsin"                       ,3/3/2020               ,1699150,1859
UNP   ,Union Pacific                         ,Industrials           ,Industrials           ,Railroads                                   ,"Omaha, Nebraska"                            ,3/4/1957               ,100885 ,1862
HBAN  ,Huntington Bancshares                 ,Financials            ,Financials            ,Regional Banks                              ,"Columbus, Ohio"                             ,                       ,49196  ,1866
SHW   ,Sherwin-Williams                      ,Materials             ,Materials             ,Specialty Chemicals                         ,"Cleveland, Ohio"                            ,6/30/1964              ,89800  ,1866
MET   ,MetLife                               ,Financials            ,Financials            ,Life & Health Insurance                     ,New York City                                ,                       ,1099219,1868
CPB   ,Campbell Soup                         ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Camden, New Jersey"                         ,3/4/1957               ,16732  ,1869
GS    ,Goldman Sachs                         ,Financials            ,Financials            ,Investment Banking & Brokerage              ,New York City                                ,7/22/2002              ,886982 ,1869
BF.B  ,Brown-Forman                          ,Not on Nasdaq         ,Consumer Staples      ,Distillers & Vintners                       ,"Louisville, Kentucky"                       ,10/31/1982             ,14693  ,1870
TT    ,Trane Technologies                    ,Industrials           ,Industrials           ,Building Products                           ,"Dublin, Ireland"                            ,11/17/2010             ,1466258,1871
KMB   ,Kimberly-Clark                        ,Consumer Staples      ,Consumer Staples      ,Household Products                          ,"Irving, Texas"                              ,3/4/1957               ,55785  ,1872
TFC   ,Truist Financial                      ,Financials            ,Financials            ,Regional Banks                              ,"Charlotte, North Carolina"                  ,12/4/1997              ,92230  ,1872
ZION  ,Zions Bancorp                         ,Financials            ,Financials            ,Regional Banks                              ,"Salt Lake City, Utah"                       ,6/22/2001              ,109380 ,1873
PRU   ,Prudential Financial                  ,Financials            ,Financials            ,Life & Health Insurance                     ,"Newark, New Jersey"                         ,7/22/2002              ,1137774,1875
LLY   ,Eli Lilly & Co                        ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Indianapolis, Indiana"                      ,12/31/1970             ,59478  ,1876
MHK   ,Mohawk Industries                     ,Consumer Discretionary,Consumer Discretionary,Home Furnishings                            ,"Calhoun, Georgia"                           ,12/23/2013             ,851968 ,1878
CVX   ,Chevron Corporation                   ,Energy                ,Energy                ,Integrated Oil & Gas                        ,"San Ramon, California"                      ,3/4/1957               ,93410  ,1879
LIN   ,Linde                                 ,Materials             ,Materials             ,Industrial Gases                            ,"Guildford, England"                         ,7/1/1992               ,1707925,1879
PFG   ,Principal Financial Group             ,Financials            ,Financials            ,Life & Health Insurance                     ,"Des Moines, Iowa"                           ,7/22/2002              ,1126328,1879
BLL   ,Ball Corp                             ,Materials             ,Materials             ,Metal & Glass Containers                    ,"Broomfield, Colorado"                       ,10/31/1984             ,9389   ,1880
BWA   ,BorgWarner                            ,Consumer Discretionary,Consumer Discretionary,Auto Parts & Equipment                      ,"Auburn Hills, Michigan"                     ,12/19/2011             ,908255 ,1880
PVH   ,PVH                                   ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,New York City                                ,2/15/2013              ,78239  ,1881
NSC   ,Norfolk Southern                      ,Industrials           ,Industrials           ,Railroads                                   ,"Norfolk, Virginia"                          ,3/4/1957               ,702165 ,1881/1894 (1980)
CNP   ,CenterPoint Energy                    ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Houston, Texas"                             ,7/31/1985              ,1130310,1882
FMC   ,FMC Corporation                       ,Materials             ,Materials             ,Fertilizers & Agricultural Chemicals        ,"Philadelphia, Pennsylvania"                 ,8/19/2009              ,37785  ,1883
KR    ,Kroger                                ,Consumer Staples      ,Consumer Staples      ,Food Retail                                 ,"Cincinnati, Ohio"                           ,3/4/1957               ,56873  ,1883
LEG   ,Leggett & Platt                       ,Consumer Discretionary,Consumer Discretionary,Home Furnishings                            ,"Carthage, Missouri"                         ,                       ,58492  ,1883
PPG   ,PPG Industries                        ,Materials             ,Materials             ,Specialty Chemicals                         ,"Pittsburgh, Pennsylvania"                   ,3/4/1957               ,79879  ,1883
JCI   ,Johnson Controls                      ,Industrials           ,Industrials           ,Building Products                           ,"Cork, Ireland"                              ,8/27/2010              ,833444 ,1885
AWK   ,American Water Works                  ,Utilities             ,Utilities             ,Water Utilities                             ,"Camden, New Jersey"                         ,3/4/2016               ,1410636,1886
CMS   ,CMS Energy                            ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Jackson, Michigan"                          ,5/3/1999               ,811156 ,1886
KO    ,Coca-Cola Company                     ,Consumer Staples      ,Consumer Staples      ,Soft Drinks                                 ,"Atlanta, Georgia"                           ,3/4/1957               ,21344  ,1886
EIX   ,Edison International                  ,Utilities             ,Utilities             ,Electric Utilities                          ,"Rosemead, California"                       ,3/4/1957               ,827052 ,1886
JNJ   ,Johnson & Johnson                     ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"New Brunswick, New Jersey"                  ,6/30/1973              ,200406 ,1886
KSU   ,Kansas City Southern                  ,Industrials           ,Industrials           ,Railroads                                   ,"Kansas City, Missouri"                      ,5/24/2013              ,54480  ,1887
MRO   ,Marathon Oil                          ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,5/1/1991               ,101778 ,1887
ABT   ,Abbott Laboratories                   ,Health Care           ,Health Care           ,Health Care Equipment                       ,"North Chicago, Illinois"                    ,3/31/1964              ,1800   ,1888
MKC   ,McCormick & Company                   ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Hunt Valley, Maryland"                      ,                       ,63754  ,1889
NTRS  ,Northern Trust                        ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"Chicago, Illinois"                          ,                       ,73124  ,1889
EMR   ,Emerson Electric Company              ,Industrials           ,Industrials           ,Electrical Components & Equipment           ,"Ferguson, Missouri"                         ,3/31/1965              ,32604  ,1890
HRL   ,Hormel                                ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Austin, Minnesota"                          ,3/4/2009               ,48465  ,1891
MRK   ,Merck & Co                            ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Kenilworth, New Jersey"                     ,3/4/1957               ,310158 ,1891
AIZ   ,Assurant                              ,Financials            ,Financials            ,Multi-line Insurance                        ,New York City                                ,4/10/2007              ,1267238,1892
GE    ,General Electric                      ,Industrials           ,Industrials           ,Industrial Conglomerates                    ,"Boston, Massachusetts"                      ,                       ,40545  ,1892
AMP   ,Ameriprise Financial                  ,Financials            ,Financials            ,Asset Management & Custody Banks            ,"Minneapolis, Minnesota"                     ,10/3/2005              ,820027 ,1894
HSY   ,The Hershey Company                   ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Hershey, Pennsylvania"                      ,3/4/1957               ,47111  ,1894
WEC   ,WEC Energy Group                      ,Utilities             ,Utilities             ,Electric Utilities                          ,"Milwaukee, Wisconsin"                       ,10/31/2008             ,783325 ,1896
BDX   ,Becton Dickinson                      ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Franklin Lakes, New Jersey"                 ,9/30/1972              ,10795  ,1897
SJM   ,JM Smucker                            ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Orrville, Ohio"                             ,11/6/2008              ,91419  ,1897
IP    ,International Paper                   ,Materials             ,Materials             ,Paper Packaging                             ,"Memphis, Tennessee"                         ,3/4/1957               ,51434  ,1898
PEP   ,PepsiCo                               ,Consumer Staples      ,Consumer Staples      ,Soft Drinks                                 ,"Purchase, New York"                         ,3/4/1957               ,77476  ,1898
EFX   ,Equifax                               ,Industrials           ,Industrials           ,Research & Consulting Services              ,"Atlanta, Georgia"                           ,6/19/1997              ,33185  ,1899
GD    ,General Dynamics                      ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Falls Church, Virginia"                     ,3/4/1957               ,40533  ,1899
VFC   ,VF Corporation                        ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,"Denver, Colorado"                           ,6/30/1979              ,103379 ,1899
GL    ,Globe Life                            ,Financials            ,Financials            ,Life & Health Insurance                     ,"McKinney, Texas"                            ,4/30/1989              ,320335 ,1900
WY    ,Weyerhaeuser                          ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Federal Way, Washington"                    ,                       ,106535 ,1900
MMM   ,3M                                    ,Industrials           ,Industrials           ,Industrial Conglomerates                    ,"Saint Paul, Minnesota"                      ,8/9/1976               ,66740  ,1902
AEE   ,Ameren Corp                           ,Utilities             ,Utilities             ,Multi-Utilities                             ,"St Louis, Missouri"                         ,9/19/1991              ,1002910,1902
ADM   ,ADM                                   ,Consumer Staples      ,Consumer Staples      ,Agricultural Products                       ,"Chicago, Illinois"                          ,7/29/1981              ,7084   ,1902
TGT   ,Target Corporation                    ,Consumer Discretionary,Consumer Discretionary,General Merchandise Stores                  ,"Minneapolis, Minnesota"                     ,12/31/1976             ,27419  ,1902
F     ,Ford                                  ,Consumer Discretionary,Consumer Discretionary,Automobile Manufacturers                    ,"Dearborn, Michigan"                         ,3/4/1957               ,37996  ,1903
NWL   ,Newell Brands                         ,Consumer Discretionary,Consumer Discretionary,Housewares & Specialties                    ,"Atlanta, Georgia"                           ,4/30/1989              ,814453 ,1903
PEG   ,Public Service Enterprise Group       ,Utilities             ,Utilities             ,Electric Utilities                          ,"Newark, New Jersey"                         ,3/4/1957               ,788784 ,1903
